OriginAirport,DestinationAirport,num_unique_flights,Distance,FlightFrequency,aircraft,dep_airport_name,dep_city,des_airport_name,des_city,Primary_Aircraft,EmissionsPerFlight,Total Fuel,TotalEmissions,Avg Passengers per Flight,Total Passengers Transported,OriginLat,OriginLong,DestLat,DestLong
EDDM,EDDH,117,600.0197948113638,4227,"{'A320': 0.3998107404778803, 'A321': 0.2507688668086113, 'A319': 0.21078779276082327, 'A20N': 0.09131771942275846, 'A21N': 0.020345398627868466}",Munich Airport,Munich,Hamburg Airport,Hamburg,A320,2845567.3823704207,12028213325.279768,38009.154107884075,108.00000000000001,456516.00000000006,48.353802,11.7861,53.630401611328,9.9882297515869
EDDL,EDDB,116,479.5671978574261,1189,"{'A320': 0.5407905803195963, 'A319': 0.27922624053826745, 'A20N': 0.04205214465937763, 'BCS3': 0.04121110176619008, 'C56X': 0.01345668629100084}",Düsseldorf Airport,Duesseldorf,Berlin-Schönefeld Airport,Berlin,A320,2506190.8668773673,2979860940.71719,9416.36057266632,103.14495412844036,122639.35045871559,51.289501,6.76678,52.380001,13.5225
EDDM,EDDK,113,435.7003523737862,2667,"{'CRJ9': 0.38620172478440196, 'A319': 0.24634420697412823, 'A320': 0.19647544056992877, 'B763': 0.06561679790026247, 'A20N': 0.01799775028121485}",Munich Airport,Munich,Cologne Bonn Airport,Cologne,CRJ9,1631927.8608247752,4352351604.819675,13753.431071230176,100.23500410846346,267326.755957272,48.353802,11.7861,50.8658981323,7.1427397728
EDDF,EDDL,113,188.86809167871291,1513,"{'A319': 0.380039656311963, 'A320': 0.29279576999339063, 'CRJ9': 0.09715796430931924, 'A321': 0.06939854593522803, 'E190': 0.038995373430270985}",Frankfurt am Main Airport,Frankfurt,Düsseldorf Airport,Duesseldorf,A319,1744847.3931898053,2639954105.8961754,8342.254974631915,108.0,163404.0,50.033333,8.570556,51.289501,6.76678
EDDK,EDDM,111,435.70035237378613,2675,"{'CRJ9': 0.38242990654205605, 'A319': 0.2474766355140187, 'A320': 0.19514018691588786, 'B763': 0.06766355140186917, 'B762': 0.019065420560747663}",Cologne Bonn Airport,Cologne,Munich Airport,Munich,CRJ9,1631927.860824775,4365407027.706273,13794.686207551822,97.72693726937268,261419.55719557192,50.8658981323,7.1427397728,48.353802,11.7861
EDDB,EDDS,105,510.43824203423685,1718,"{'A320': 0.6053550640279395, 'A319': 0.2817229336437718, 'A20N': 0.01629802095459837, 'C56X': 0.015133876600698487, 'CL60': 0.01338766006984866}",Berlin-Schönefeld Airport,Berlin,Stuttgart Airport,Stuttgart,A320,2593270.0562277096,4455237956.599205,14078.551942853488,106.44846970643346,182878.47095565268,52.380001,13.5225,48.6898994446,9.22196006775
EDDS,EDDF,104,156.6529864687496,1352,"{'A319': 0.4718934911242604, 'A320': 0.23002958579881658, 'CRJ9': 0.11020710059171597, 'E190': 0.05695266272189349, 'A321': 0.03920118343195266}",Stuttgart Airport,Stuttgart,Frankfurt am Main Airport,Frankfurt,A319,1666646.5257001577,2253306102.7466135,7120.4472846793,108.0,146016.0,48.6898994446,9.22196006775,50.033333,8.570556
EDDH,EDDL,103,339.6239216641812,824,"{'A319': 0.4320388349514563, 'A320': 0.3179611650485437, 'A20N': 0.07160194174757281, 'BCS3': 0.044902912621359224, 'C56X': 0.01820388349514563}",Hamburg Airport,Hamburg,Düsseldorf Airport,Duesseldorf,A319,2118397.142102443,1745559245.0924132,5515.967214492026,102.5185185185185,84475.25925925924,53.630401611328,9.9882297515869,51.289501,6.76678
EDDL,EDDH,100,339.6239216641812,827,"{'A319': 0.42563482466747277, 'A320': 0.31076178960096734, 'A20N': 0.07134220072551391, 'BCS3': 0.045949214026602174, 'C56X': 0.02902055622732769}",Düsseldorf Airport,Duesseldorf,Hamburg Airport,Hamburg,A319,2118397.142102443,1751914436.5187204,5536.049619399157,102.37808219178082,84666.67397260274,51.289501,6.76678,53.630401611328,9.9882297515869
EDDH,EDDB,94,274.27980578861235,110,"{'E55P': 0.15454545454545454, 'C56X': 0.14545454545454545, 'A320': 0.09090909090909091, 'CL30': 0.07272727272727272, 'C525': 0.06363636363636363}",Hamburg Airport,Hamburg,Berlin-Schönefeld Airport,Berlin,E55P,140232.0221197957,15425522.433177527,48.74465088884099,80.06896551724138,8807.586206896553,53.630401611328,9.9882297515869,52.380001,13.5225
EDDS,EDDB,93,510.4382420342368,1685,"{'A320': 0.6112759643916914, 'A319': 0.286053412462908, 'A20N': 0.01483679525222552, 'CL60': 0.013056379821958458, 'C25M': 0.012462908011869436}",Stuttgart Airport,Stuttgart,Berlin-Schönefeld Airport,Berlin,A320,2593270.056227709,4369660044.74369,13808.12574139006,105.06075949367089,177027.37974683545,48.6898994446,9.22196006775,52.380001,13.5225
EDDH,EDDK,85,363.27867512066445,643,"{'A319': 0.41835147744945567, 'A320': 0.30326594090202175, 'A20N': 0.08709175738724728, 'B738': 0.06842923794712286, 'LJ35': 0.01866251944012442}",Hamburg Airport,Hamburg,Cologne Bonn Airport,Cologne,A319,2178146.0987752303,1400547941.512473,4425.731495179415,105.75,67997.25,53.630401611328,9.9882297515869,50.8658981323,7.1427397728
EDDV,EDDM,84,480.31388783344386,1791,"{'A320': 0.30541596873255167, 'A319': 0.28754885538805136, 'B738': 0.12283640424343942, 'CRJ9': 0.10552763819095477, 'A321': 0.07314349525404802}",Hannover Airport,Hannover,Munich Airport,Munich,A320,2508297.8959580753,4492361531.6609125,14195.862440048484,107.99999999999999,193427.99999999997,52.461101532,9.68507957458,48.353802,11.7861
EDDM,EDDS,84,192.49686386475594,1324,"{'CRJ9': 0.6661631419939577, 'AT76': 0.08383685800604229, 'A319': 0.07477341389728097, 'CRJX': 0.05060422960725076, 'A320': 0.030966767371601207}",Munich Airport,Munich,Stuttgart Airport,Stuttgart,CRJ9,1035559.5493215896,1371080843.3017848,4332.6154648336405,91.97999999999999,121781.51999999999,48.353802,11.7861,48.6898994446,9.22196006775
EDDS,EDDM,83,192.49686386475594,1172,"{'CRJ9': 0.7474402730375427, 'A319': 0.08447098976109214, 'CRJX': 0.05631399317406143, 'A320': 0.026450511945392493, 'E195': 0.024744027303754267}",Stuttgart Airport,Stuttgart,Munich Airport,Munich,CRJ9,1035559.5493215896,1213675791.804903,3835.2155021034937,101.52588555858313,118988.33787465942,48.6898994446,9.22196006775,48.353802,11.7861
EDDV,EDDF,82,280.87126283551623,1424,"{'A319': 0.3160112359550562, 'A320': 0.3146067415730337, 'CRJ9': 0.12921348314606743, 'E190': 0.06882022471910113, 'A321': 0.05688202247191011}",Hannover Airport,Hannover,Frankfurt am Main Airport,Frankfurt,A319,1971328.547983173,2807171852.328038,8870.663053356602,108.00000000000001,153792.00000000003,52.461101532,9.68507957458,50.033333,8.570556
EDDB,EDDN,81,363.24473401406624,127,"{'LJ60': 0.23622047244094488, 'J328': 0.1732283464566929, 'PRM1': 0.08661417322834646, 'EA50': 0.08661417322834646, 'CL60': 0.05511811023622047}",Berlin-Schönefeld Airport,Berlin,Nuremberg Airport,Nuernberg,LJ60,2177458.270412308,276537200.3423631,873.8575530818674,0.0,0.0,52.380001,13.5225,49.498699,11.078056
EDDF,EDDS,79,156.6529864687496,1369,"{'A319': 0.4777209642074507, 'A320': 0.2279035792549306, 'CRJ9': 0.11760409057706354, 'E190': 0.0547845142439737, 'A20N': 0.031409788166544925}",Frankfurt am Main Airport,Frankfurt,Stuttgart Airport,Stuttgart,A319,1666646.5257001577,2281639093.683516,7209.979536039911,107.99999999999999,147851.99999999997,50.033333,8.570556,48.6898994446,9.22196006775
EDDN,EDDM,78,137.41320595696035,83,"{'A320': 0.12048192771084337, 'A20N': 0.07228915662650602, 'LJ55': 0.060240963855421686, 'CL60': 0.060240963855421686, 'GLEX': 0.04819277108433735}",Nuremberg Airport,Nuernberg,Munich Airport,Munich,A320,1536462.845229734,127526416.15406792,402.9834750468546,57.599999999999994,4780.799999999999,49.498699,11.078056,48.353802,11.7861
EDDB,EDDH,78,274.27980578861235,95,"{'A320': 0.12631578947368421, 'C56X': 0.09473684210526316, 'CL30': 0.09473684210526316, 'E550': 0.08421052631578947, 'C525': 0.06315789473684211}",Berlin-Schönefeld Airport,Berlin,Hamburg Airport,Hamburg,A320,1925381.005436735,182911195.51648983,577.9993778321079,51.54545454545455,4896.818181818182,52.380001,13.5225,53.630401611328,9.9882297515869
EDDH,EDDS,77,551.9424771472789,1454,"{'A319': 0.5522696011004127, 'A320': 0.33837689133425036, 'A20N': 0.07427785419532325, 'C25M': 0.007565337001375516, 'C25A': 0.005502063273727648}",Hamburg Airport,Hamburg,Stuttgart Airport,Stuttgart,A319,2665718.1684341514,3875954216.9032564,12248.015325414292,106.55696202531645,154933.82278481012,53.630401611328,9.9882297515869,48.6898994446,9.22196006775
EDXW,EDDB,76,442.52713782293216,92,"{'C56X': 0.1956521739130435, 'C510': 0.17391304347826086, 'E55P': 0.16304347826086957, 'C68A': 0.06521739130434782, 'P180': 0.05434782608695652}",Westerland Sylt Airport,Westerland,Berlin-Schönefeld Airport,Berlin,C56X,269789.80686742807,24820662.231803384,78.4332926524987,59.40000000000001,5464.800000000001,54.9132003784,8.34047031403,52.380001,13.5225
EDDK,EDDH,76,363.27867512066445,626,"{'A319': 0.4185303514376997, 'A320': 0.31629392971246006, 'A20N': 0.0878594249201278, 'B738': 0.07507987220447285, 'E55P': 0.01757188498402556}",Cologne Bonn Airport,Cologne,Hamburg Airport,Hamburg,A319,2178146.0987752303,1363519457.8332942,4308.72148675321,108.0,67608.0,50.8658981323,7.1427397728,53.630401611328,9.9882297515869
EDDS,EDDH,75,551.9424771472789,1424,"{'A319': 0.5407303370786517, 'A320': 0.3342696629213483, 'A20N': 0.07794943820224719, 'C25M': 0.008426966292134831, 'C25B': 0.0049157303370786515}",Stuttgart Airport,Stuttgart,Hamburg Airport,Hamburg,A319,2665718.1684341514,3795982671.8502316,11995.305243046732,106.50872093023254,151668.41860465115,48.6898994446,9.22196006775,53.630401611328,9.9882297515869
EDDL,EDDS,75,338.1333507816241,117,"{'A320': 0.19658119658119658, 'A319': 0.13675213675213677, 'C56X': 0.1111111111111111, 'C25M': 0.08547008547008547, 'C25C': 0.07692307692307693}",Düsseldorf Airport,Duesseldorf,Stuttgart Airport,Stuttgart,A320,2106364.3348738556,246444627.1802411,778.7650218895619,79.09859154929576,9254.535211267605,51.289501,6.76678,48.6898994446,9.22196006775
EDDN,EDDF,73,189.640735121686,1334,"{'CRJ9': 0.34182908545727136, 'A319': 0.32608695652173914, 'E190': 0.18065967016491755, 'A320': 0.08995502248875563, 'A321': 0.0239880059970015}",Nuremberg Airport,Nuernberg,Frankfurt am Main Airport,Frankfurt,CRJ9,1028172.8234004582,1371582546.4162111,4334.200846675227,108.0,144072.0,49.498699,11.078056,50.033333,8.570556
EDDF,EDDP,71,300.75279621709745,1979,"{'E190': 0.30520464881253156, 'CRJ9': 0.18797372410308236, 'A306': 0.11369378473976756, 'A319': 0.11217786760990399, 'B752': 0.10510358767054068}",Frankfurt am Main Airport,Frankfurt,Leipzig/Halle Airport,Leipzig,E190,1632513.5018805848,3230744220.2216773,10209.151735900501,79.3280196198651,156990.15082771305,50.033333,8.570556,51.423889,12.236389
EDDP,EDDF,69,300.75279621709745,2012,"{'E190': 0.3066600397614314, 'CRJ9': 0.18190854870775347, 'B77L': 0.1341948310139165, 'A319': 0.10785288270377734, 'B752': 0.10437375745526839}",Leipzig/Halle Airport,Leipzig,Frankfurt am Main Airport,Frankfurt,E190,1632513.5018805848,3284617165.7837367,10379.390243876607,77.14285714285714,155211.42857142855,51.423889,12.236389,50.033333,8.570556
EDDV,EDDL,69,238.94285320937814,90,"{'B738': 0.3333333333333333, 'C425': 0.13333333333333333, 'B38M': 0.1, 'C56X': 0.06666666666666667, 'A320': 0.05555555555555555}",Hannover Airport,Hannover,Düsseldorf Airport,Duesseldorf,B738,1798379.0656343407,161854115.90709066,511.45900626640656,71.41935483870967,6427.74193548387,52.461101532,9.68507957458,51.289501,6.76678
EDXW,EDDH,69,178.29665297049678,145,"{'C525': 0.30344827586206896, 'E55P': 0.2206896551724138, 'C25A': 0.16551724137931034, 'C56X': 0.1103448275862069, 'C25M': 0.034482758620689655}",Westerland Sylt Airport,Westerland,Hamburg Airport,Hamburg,C525,1652778.1070596743,239652825.5236528,757.3029286547428,42.84297520661157,6212.231404958678,54.9132003784,8.34047031403,53.630401611328,9.9882297515869
EDDB,EDXW,69,442.52713782293216,89,"{'E55P': 0.24719101123595505, 'C56X': 0.15730337078651685, 'C510': 0.10112359550561797, 'P180': 0.0898876404494382, 'C525': 0.06741573033707865}",Berlin-Schönefeld Airport,Berlin,Westerland Sylt Airport,Westerland,E55P,190538.66301751038,16957941.008558422,53.58709358704462,65.89830508474576,5864.949152542373,52.380001,13.5225,54.9132003784,8.34047031403
EDDK,EDDF,68,137.07467169663846,106,"{'B77L': 0.3490566037735849, 'A320': 0.10377358490566038, 'A321': 0.05660377358490566, 'B738': 0.05660377358490566, 'A20N': 0.05660377358490566}",Cologne Bonn Airport,Cologne,Frankfurt am Main Airport,Frankfurt,B77L,1535499.1968803762,162762914.8693199,514.3308109870509,47.45454545454546,5030.181818181819,50.8658981323,7.1427397728,50.033333,8.570556
EDDF,EDDV,66,280.87126283551623,1202,"{'A320': 0.3069883527454243, 'A319': 0.3069883527454243, 'CRJ9': 0.13976705490848584, 'E190': 0.0723793677204659, 'A321': 0.05823627287853577}",Frankfurt am Main Airport,Frankfurt,Hannover Airport,Hannover,A320,1944077.1103077652,2336780686.589934,7384.226969624191,108.00000000000001,129816.00000000001,50.033333,8.570556,52.461101532,9.68507957458
EDDH,EDXW,65,178.29665297049678,145,"{'C525': 0.2689655172413793, 'E55P': 0.20689655172413793, 'C25A': 0.19310344827586207, 'C56X': 0.08275862068965517, 'C25M': 0.07586206896551724}",Hamburg Airport,Hamburg,Westerland Sylt Airport,Westerland,C525,1652778.1070596743,239652825.5236528,757.3029286547428,37.8,5481.0,53.630401611328,9.9882297515869,54.9132003784,8.34047031403
EDDF,EDDN,64,189.640735121686,1364,"{'CRJ9': 0.3277126099706745, 'A319': 0.31378299120234604, 'E190': 0.17961876832844575, 'A320': 0.07624633431085044, 'LJ60': 0.025659824046920823}",Frankfurt am Main Airport,Frankfurt,Nuremberg Airport,Nuernberg,CRJ9,1028172.8234004582,1402427731.118225,4431.671630333592,104.9976171564734,143216.74980142972,50.033333,8.570556,49.498699,11.078056
EDDM,EDDN,62,137.41320595696035,81,"{'LJ60': 0.16049382716049382, 'CL60': 0.1111111111111111, 'C55B': 0.09876543209876543, 'FA7X': 0.08641975308641975, 'LJ35': 0.08641975308641975}",Munich Airport,Munich,Nuremberg Airport,Nuernberg,LJ60,1536462.845229734,124453490.46360846,393.27302986500274,0.0,0.0,48.353802,11.7861,49.498699,11.078056
EDDS,EDDL,61,338.1333507816241,87,"{'A320': 0.20689655172413793, 'C56X': 0.11494252873563218, 'A319': 0.10344827586206896, 'C25M': 0.10344827586206896, 'B738': 0.08045977011494253}",Stuttgart Airport,Stuttgart,Düsseldorf Airport,Duesseldorf,A320,2106364.3348738556,183253697.13402542,579.0816829435204,89.66037735849056,7800.452830188679,48.6898994446,9.22196006775,51.289501,6.76678
EDDM,EDDV,60,480.3138878334439,1503,"{'A320': 0.2980705256154358, 'A319': 0.29141716566866266, 'B738': 0.12441783100465735, 'CRJ9': 0.10046573519627412, 'A321': 0.0718562874251497}",Munich Airport,Munich,Hannover Airport,Hannover,A320,2508297.8959580758,3769971737.624988,11913.110690894962,108.0,162324.0,48.353802,11.7861,52.461101532,9.68507957458
EDDL,EDXW,60,416.3802835270601,238,"{'A319': 0.6008403361344538, 'A320': 0.13445378151260504, 'C25A': 0.10084033613445378, 'E55P': 0.037815126050420166, 'C56X': 0.025210084033613446}",Düsseldorf Airport,Duesseldorf,Westerland Sylt Airport,Westerland,A319,2313396.5545489406,550588379.9826479,1739.8592807451676,95.88785046728972,22821.308411214955,51.289501,6.76678,54.9132003784,8.34047031403
EDDN,EDDB,60,363.24473401406624,74,"{'PRM1': 0.13513513513513514, 'EA50': 0.10810810810810811, 'LJ60': 0.10810810810810811, 'CL60': 0.06756756756756757, 'C56X': 0.06756756756756757}",Nuremberg Airport,Nuernberg,Berlin-Schönefeld Airport,Berlin,PRM1,2177458.270412308,161131912.0105108,509.1768419532142,15.0,1110.0,49.498699,11.078056,52.380001,13.5225
EDDV,EDDB,59,260.35423143821606,131,"{'C560': 0.25190839694656486, 'C425': 0.24427480916030533, 'C56X': 0.0916030534351145, 'B738': 0.08396946564885496, 'A320': 0.07633587786259542}",Hannover Airport,Hannover,Berlin-Schönefeld Airport,Berlin,C560,1885872.0046831034,247049232.61348656,780.6755750586176,36.36734693877551,4764.122448979592,52.461101532,9.68507957458,52.380001,13.5225
EDDB,EDSB,59,554.6320630779328,64,"{'C510': 0.296875, 'LJ35': 0.125, 'E55P': 0.125, 'E50P': 0.078125, 'CL60': 0.046875}",Berlin-Schönefeld Airport,Berlin,Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,C510,2717809.757594718,173939824.48606196,549.6498453759558,20.093023255813954,1285.953488372093,52.380001,13.5225,48.7793998718,8.08049964905
EDDP,EDDM,57,342.89695338948064,951,"{'CRJ9': 0.61198738170347, 'A306': 0.24185068349106204, 'B734': 0.04100946372239748, 'B752': 0.013669821240799159, 'C25A': 0.012618296529968454}",Leipzig/Halle Airport,Leipzig,Munich Airport,Munich,CRJ9,1411969.9486408962,1342783421.1574924,4243.195610857676,71.75342465753424,68237.50684931506,51.423889,12.236389,48.353802,11.7861
EDXW,EDDL,56,416.3802835270601,225,"{'A319': 0.6177777777777778, 'A320': 0.13333333333333333, 'C25A': 0.09777777777777778, 'E55P': 0.044444444444444446, 'C510': 0.013333333333333334}",Westerland Sylt Airport,Westerland,Düsseldorf Airport,Duesseldorf,A319,2313396.5545489406,520514224.77351165,1644.824950284297,94.76470588235297,21322.05882352942,54.9132003784,8.34047031403,51.289501,6.76678
EDDW,EDDM,56,562.9178962010345,1557,"{'A320': 0.35773924213230573, 'A319': 0.3243416827231856, 'CRJ9': 0.2138728323699422, 'A321': 0.0340398201669878, 'A20N': 0.029543994861913937}",Bremen Airport,Bremen,Munich Airport,Munich,A320,2741143.8451595283,4267960966.9133854,13486.7566554463,108.0,168156.0,53.0475006104,8.78666973114,48.353802,11.7861
EDDV,EDDH,56,131.58966189353714,117,"{'C425': 0.24786324786324787, 'A320': 0.15384615384615385, 'C560': 0.11965811965811966, 'C56X': 0.06837606837606838, 'F2TH': 0.05982905982905983}",Hannover Airport,Hannover,Hamburg Airport,Hamburg,C425,1519884.793724516,177826520.86576837,561.931805935828,36.94736842105264,4322.842105263158,52.461101532,9.68507957458,53.630401611328,9.9882297515869
EDDM,EDDP,56,342.89695338948064,947,"{'CRJ9': 0.6082365364308342, 'A306': 0.235480464625132, 'A388': 0.05807814149947202, 'B752': 0.014783526927138331, 'C25A': 0.014783526927138331}",Munich Airport,Munich,Leipzig/Halle Airport,Leipzig,CRJ9,1411969.9486408962,1337135541.3629286,4225.348310706855,70.53061224489795,66792.48979591836,48.353802,11.7861,51.423889,12.236389
EDDL,EDDN,55,364.67086675574745,114,"{'LJ60': 0.32456140350877194, 'J328': 0.23684210526315788, 'GLEX': 0.05263157894736842, 'C680': 0.043859649122807015, 'B738': 0.043859649122807015}",Düsseldorf Airport,Duesseldorf,Nuremberg Airport,Nuernberg,LJ60,2181494.4930204833,248690372.2043351,785.8615761656989,6.75,769.5,51.289501,6.76678,49.498699,11.078056
EDDM,EDDW,54,562.9178962010345,1571,"{'A320': 0.3577339274347549, 'A319': 0.3233609166136219, 'CRJ9': 0.21769573520050922, 'A321': 0.033099936346276254, 'A20N': 0.02991725015913431}",Munich Airport,Munich,Bremen Airport,Bremen,A320,2741143.8451595283,4306336980.745619,13608.024859156156,107.99999999999999,169667.99999999997,48.353802,11.7861,53.0475006104,8.78666973114
EDDL,EDDV,53,238.94285320937817,73,"{'B738': 0.3150684931506849, 'C425': 0.1506849315068493, 'A320': 0.1095890410958904, 'C560': 0.0684931506849315, 'B38M': 0.0684931506849315}",Düsseldorf Airport,Duesseldorf,Hannover Airport,Hannover,B738,1798379.065634341,131281671.7913069,414.8500828605298,64.38461538461539,4700.076923076923,51.289501,6.76678,52.461101532,9.68507957458
EDSB,EDDB,52,554.6320630779328,59,"{'C510': 0.3220338983050847, 'E50P': 0.06779661016949153, 'PRM1': 0.06779661016949153, 'LJ35': 0.05084745762711865, 'CL60': 0.05084745762711865}",Karlsruhe Baden-Baden Airport,Karlsruhe/Baden-Baden,Berlin-Schönefeld Airport,Berlin,C510,2717809.757594718,160350775.69808838,506.7084512059593,0.0,0.0,48.7793998718,8.08049964905,52.380001,13.5225
EDDV,EDDS,52,420.6093454145199,271,"{'B738': 0.7822878228782287, 'B38M': 0.03690036900369004, 'C425': 0.02952029520295203, 'A320': 0.025830258302583026, 'C560': 0.02214022140221402}",Hannover Airport,Hannover,Stuttgart Airport,Stuttgart,B738,2326837.783350249,630573039.2879174,1992.610804149819,97.33333333333333,26377.333333333332,52.461101532,9.68507957458,48.6898994446,9.22196006775
